当前比赛序号,当前主队,当前客队,历史比赛序号,历史比赛结果,历史PRO_最终预测结果,历史PRO_gap,历史PRO融合模型预测结果,历史PRO融合模型_gap,历史主队,历史客队,PRO_pattern_0_1_2,PRO_pattern_1_2_3,PRO_pattern_2_3_4,ENS_pattern_0_1_2,ENS_pattern_1_2_3,ENS_pattern_2_3_4,,parity,parity(严格）,,,,,,,,,,,,,,,,,,,
68,"
","
",486,主胜,平局,0.1821,主胜,0.0836,,26,0,1,0,1,1,0,3,1,"0.17,0.30,0.34,0.48,0.18",0,"
","
","0.01,0.09,0.04,0.04,0.08",0,"
","
","2.00,1.73,1.90,1.89,2.00",0,0,"
","3.10,3.50,3.45,3.68,3.30",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"
","
",2083,客胜,客胜,0.3768,客胜,0.0781,"
39-39 2-2有

这种情况下：一组相等  一组相差1 还是可以有（2-2-7-8）
左边的37-39-41  39-41-43（连续3个） 有一种
这两种37+2=39（可能只有一个？？）
两个39+2=41均有   39+2=39+2（完全相同的也有）


",44,0,0,1,0,2,0,3,1,"0.37,0.41,0.43,0.39,0.39",1,0.37|0.39|0.41,0.37|0.39|0.41;0.39|0.41|0.43,"0.07,0.04,0.08,0.02,0.02",0,"
","
","3.60,3.40,3.65,2.50,3.60",0,0,"
","3.40,3.20,3.20,3.23,3.40",0,0,,,,,
69,"
","
",2231,客胜,客胜,0.4198,客胜,0.047,,45,0,0,1,0,2,0,3,1,"0.37,0.41,0.43,0.39,0.39",1,0.37|0.39|0.41,0.37|0.39|0.41;0.39|0.41|0.43,"0.07,0.04,0.08,0.02,0.02",0,"
","
","3.60,3.40,3.65,2.50,3.60",0,0,"
","3.40,3.20,3.20,3.23,3.40",0,0,,,,,
69,"
","
",2010,客胜,客胜,0.4345,客胜,0.0814,,51,0,0,1,0,2,0,3,1,"0.37,0.41,0.43,0.39,0.39",1,0.37|0.39|0.41,0.37|0.39|0.41;0.39|0.41|0.43,"0.07,0.04,0.08,0.02,0.02",0,"
","
","3.60,3.40,3.65,2.50,3.60",0,0,"
","3.40,3.20,3.20,3.23,3.40",0,0,,,,,
69,"
","
",2206,主胜,客胜,0.3931,客胜,0.0263,,41,0,0,1,0,2,0,3,1,"0.37,0.41,0.43,0.39,0.39",1,0.37|0.39|0.41,0.37|0.39|0.41;0.39|0.41|0.43,"0.07,0.04,0.08,0.02,0.02",0,"
","
","3.60,3.40,3.65,2.50,3.60",0,0,"
","3.40,3.20,3.20,3.23,3.40",0,0,,,,,
69,"
","
",2033,主胜,客胜,0.3935,客胜,0.02,,41,0,0,1,0,2,0,3,1,"0.37,0.41,0.43,0.39,0.39",1,0.37|0.39|0.41,0.37|0.39|0.41;0.39|0.41|0.43,"0.07,0.04,0.08,0.02,0.02",0,"
","
","3.60,3.40,3.65,2.50,3.60",0,0,"
","3.40,3.20,3.20,3.23,3.40",0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"
","
",2042,平局,客胜,0.2038,客胜,0.0045,"
没有20=20
也没有20+0=20（20在同一边时）
20-20 2-2 有 此时2-2-17-18还继续有
右边的0+2=2有（三个在同一侧有）",20,0,0,1,1,0,0,2,0,"0.20,0.18,0.06,0.25,0.20",0,"
","
","0.00,0.18,0.02,0.17,0.02",0,"
","
","3.05,3.00,3.00,3.03,2.90",0,0,"
","3.05,3.10,3.15,3.05,3.00",1,4,,,,,
70,"
","
",2282,客胜,客胜,0.1892,客胜,0.1821,,36,0,0,1,1,0,0,2,0,"0.20,0.18,0.06,0.25,0.20",0,"
","
","0.00,0.18,0.02,0.17,0.02",0,"
","
","3.05,3.00,3.00,3.03,2.90",0,0,"
","3.05,3.10,3.15,3.05,3.00",1,4,,,,,
70,"
","
",2149,主胜,客胜,0.068,客胜,0.0299,,8,0,0,1,1,0,0,2,0,"0.20,0.18,0.06,0.25,0.20",0,"
","
","0.00,0.18,0.02,0.17,0.02",0,"
","
","3.05,3.00,3.00,3.03,2.90",0,0,"
","3.05,3.10,3.15,3.05,3.00",1,4,,,,,
70,"
","
",358,客胜,客胜,0.2556,客胜,0.1762,,42,0,0,1,1,0,0,2,0,"0.20,0.18,0.06,0.25,0.20",0,"
","
","0.00,0.18,0.02,0.17,0.02",0,"
","
","3.05,3.00,3.00,3.03,2.90",0,0,"
","3.05,3.10,3.15,3.05,3.00",1,4,,,,,
70,"
","
",1537,客胜,客胜,0.2057,客胜,0.0226,,22,0,0,1,1,0,0,2,0,"0.20,0.18,0.06,0.25,0.20",0,"
","
","0.00,0.18,0.02,0.17,0.02",0,"
","
","3.05,3.00,3.00,3.03,2.90",0,0,"
","3.05,3.10,3.15,3.05,3.00",1,4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"
","
",1348,主胜,客胜,0.2642,主胜,0.0273,"
1=2 没有
40=40没有
42+4=45+1 有
45+2=40+7有",28,0,1,1,2,3,0,7,1,"0.26,0.40,0.42,0.40,0.45",0,"
","
","0.02,0.07,0.04,0.09,0.01",1,0.01|0.04|0.07,0.01|0.04|0.07,,,,,,,,,,,,
71,"
","
",2145,客胜,客胜,0.4065,主胜,0.074,,47,0,1,1,2,3,0,7,1,"0.26,0.40,0.42,0.40,0.45",0,"
","
","0.02,0.07,0.04,0.09,0.01",1,0.01|0.04|0.07,0.01|0.04|0.07,,,,,,,,,,,,
71,"
","
",399,客胜,客胜,0.4299,主胜,0.0428,,46,0,1,1,2,3,0,7,1,"0.26,0.40,0.42,0.40,0.45",0,"
","
","0.02,0.07,0.04,0.09,0.01",1,0.01|0.04|0.07,0.01|0.04|0.07,,,,,,,,,,,,
71,"
","
",1940,客胜,客胜,0.4089,主胜,0.0983,,49,0,1,1,2,3,0,7,1,"0.26,0.40,0.42,0.40,0.45",0,"
","
","0.02,0.07,0.04,0.09,0.01",1,0.01|0.04|0.07,0.01|0.04|0.07,,,,,,,,,,,,
71,"
","
",457,客胜,客胜,0.4537,主胜,0.0118,,46,0,1,1,2,3,0,7,1,"0.26,0.40,0.42,0.40,0.45",0,"
","
","0.02,0.07,0.04,0.09,0.01",1,0.01|0.04|0.07,0.01|0.04|0.07,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"
","
",1348,主胜,客胜,0.2642,主胜,0.0273,"
40=40时没有
左边0.08时 右边的0.0087可能有",28,1,0,0,0,0,6,7,1,"0.26,0.40,0.08,0.23,0.40",0,"
","
","0.02,0.07,0.00,0.13,0.09",0,"
","
",,,,,,,,,,,,
72,"
","
",2145,客胜,客胜,0.4065,主胜,0.074,,47,1,0,0,0,0,6,7,1,"0.26,0.40,0.08,0.23,0.40",0,"
","
","0.02,0.07,0.00,0.13,0.09",0,"
","
",,,,,,,,,,,,
72,"
","
",79,主胜,客胜,0.0817,主胜,0.0087,,8,1,0,0,0,0,6,7,1,"0.26,0.40,0.08,0.23,0.40",0,"
","
","0.02,0.07,0.00,0.13,0.09",0,"
","
",,,,,,,,,,,,
72,"
","
",185,主胜,客胜,0.2361,主胜,0.1321,,36,1,0,0,0,0,6,7,1,"0.26,0.40,0.08,0.23,0.40",0,"
","
","0.02,0.07,0.00,0.13,0.09",0,"
","
",,,,,,,,,,,,
72,"
","
",1940,客胜,客胜,0.4089,主胜,0.0983,,49,1,0,0,0,0,6,7,1,"0.26,0.40,0.08,0.23,0.40",0,"
","
","0.02,0.07,0.00,0.13,0.09",0,"
","
",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"
","
",2139,客胜,主胜,0.0878,客胜,0.0208,"
左边的这种：8-9 18-19没有
右边的：1-2 8-9有
1=2没有 整体大有
8+1=9有
26+2=19+9有",10,1,0,1,0,0,1,3,1,"0.08,0.09,0.18,0.19,0.26",0,"
","
","0.02,0.08,0.12,0.09,0.01",0,"
","
",,,,,,,,,,,,
73,"
","
",1510,客胜,主胜,0.0948,客胜,0.0819,,17,1,0,1,0,0,1,3,1,"0.08,0.09,0.18,0.19,0.26",0,"
","
","0.02,0.08,0.12,0.09,0.01",0,"
","
",,,,,,,,,,,,
73,"
","
",799,客胜,主胜,0.1811,客胜,0.1238,,30,1,0,1,0,0,1,3,1,"0.08,0.09,0.18,0.19,0.26",0,"
","
","0.02,0.08,0.12,0.09,0.01",0,"
","
",,,,,,,,,,,,
73,"
","
",1522,客胜,主胜,0.1969,客胜,0.0967,,28,1,0,1,0,0,1,3,1,"0.08,0.09,0.18,0.19,0.26",0,"
","
","0.02,0.08,0.12,0.09,0.01",0,"
","
",,,,,,,,,,,,
73,"
","
",1822,客胜,主胜,0.2626,客胜,0.0198,,27,1,0,1,0,0,1,3,1,"0.08,0.09,0.18,0.19,0.26",0,"
","
","0.02,0.08,0.12,0.09,0.01",0,"
","
",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"
","
",2139,客胜,主胜,0.0878,客胜,0.0208,"
下面的8=9有   左边的8=9 有 

右边的这种：1=2  8=9有（任意位置都有）
  
1个0.08和1个0.09时 0.01没有！",10,0,0,0,0,1,1,2,0,"0.08,0.26,0.18,0.19,0.09",0,"
","
","0.02,0.01,0.12,0.09,0.08",0,"
","
",,,,,,,,,,,,
74,"
","
",1822,客胜,主胜,0.2626,客胜,0.0198,,27,0,0,0,0,1,1,2,0,"0.08,0.26,0.18,0.19,0.09",0,"
","
","0.02,0.01,0.12,0.09,0.08",0,"
","
",,,,,,,,,,,,
74,"
","
",799,客胜,主胜,0.1811,客胜,0.1238,,30,0,0,0,0,1,1,2,0,"0.08,0.26,0.18,0.19,0.09",0,"
","
","0.02,0.01,0.12,0.09,0.08",0,"
","
",,,,,,,,,,,,
74,"
","
",1522,客胜,主胜,0.1969,客胜,0.0967,,28,0,0,0,0,1,1,2,0,"0.08,0.26,0.18,0.19,0.09",0,"
","
","0.02,0.01,0.12,0.09,0.08",0,"
","
",,,,,,,,,,,,
74,"
","
",1510,客胜,主胜,0.0948,客胜,0.0819,,17,0,0,0,0,1,1,2,0,"0.08,0.26,0.18,0.19,0.09",0,"
","
","0.02,0.01,0.12,0.09,0.08",0,"
","
",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"
","
",2220,客胜,主胜,0.0623,平局,0.0798,"
这个6=7有 虽然7下面有6
21+7=12+16有
6+7=13有
17+7=18+6有
14+13=21+6有",13,0,1,0,0,2,1,4,0,"0.06,0.18,0.14,0.12,0.17",1,0.06|0.12|0.18,0.06|0.12|0.18,"0.07,0.06,0.13,0.16,0.21",0,"
","
",,,,,,,,,,,,
75,"
","
",250,平局,主胜,0.1878,平局,0.0696,,24,0,1,0,0,2,1,4,0,"0.06,0.18,0.14,0.12,0.17",1,0.06|0.12|0.18,0.06|0.12|0.18,"0.07,0.06,0.13,0.16,0.21",0,"
","
",,,,,,,,,,,,
75,"
","
",1067,平局,主胜,0.141,平局,0.1394,,27,0,1,0,0,2,1,4,0,"0.06,0.18,0.14,0.12,0.17",1,0.06|0.12|0.18,0.06|0.12|0.18,"0.07,0.06,0.13,0.16,0.21",0,"
","
",,,,,,,,,,,,
75,"
","
",2047,平局,主胜,0.1243,平局,0.1643,,28,0,1,0,0,2,1,4,0,"0.06,0.18,0.14,0.12,0.17",1,0.06|0.12|0.18,0.06|0.12|0.18,"0.07,0.06,0.13,0.16,0.21",0,"
","
",,,,,,,,,,,,
75,"
","
",1825,平局,主胜,0.1701,平局,0.2128,,38,0,1,0,0,2,1,4,0,"0.06,0.18,0.14,0.12,0.17",1,0.06|0.12|0.18,0.06|0.12|0.18,"0.07,0.06,0.13,0.16,0.21",0,"
","
",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"
","
",799,客胜,主胜,0.1811,客胜,0.1238,"下面的8=9有
左边：这种18-19  8-9没有
右边：这种1-2 8-9 有  
18+9=26+1有
18+8=26有",30,0,0,0,1,1,1,3,1,"0.18,0.19,0.08,0.26,0.09",0,"
","
","0.12,0.09,0.02,0.01,0.08",0,"
","
",,,,,,,,,,,,
76,"
","
",1522,客胜,主胜,0.1969,客胜,0.0967,,28,0,0,0,1,1,1,3,1,"0.18,0.19,0.08,0.26,0.09",0,"
","
","0.12,0.09,0.02,0.01,0.08",0,"
","
",,,,,,,,,,,,
76,"
","
",2139,客胜,主胜,0.0878,客胜,0.0208,,10,0,0,0,1,1,1,3,1,"0.18,0.19,0.08,0.26,0.09",0,"
","
","0.12,0.09,0.02,0.01,0.08",0,"
","
",,,,,,,,,,,,
76,"
","
",1822,客胜,主胜,0.2626,客胜,0.0198,,27,0,0,0,1,1,1,3,1,"0.18,0.19,0.08,0.26,0.09",0,"
","
","0.12,0.09,0.02,0.01,0.08",0,"
","
",,,,,,,,,,,,
76,"
","
",1510,客胜,主胜,0.0948,客胜,0.0819,,17,0,0,0,1,1,1,3,1,"0.18,0.19,0.08,0.26,0.09",0,"
","
","0.12,0.09,0.02,0.01,0.08",0,"
","
",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"
","
",799,客胜,主胜,0.1811,客胜,0.1238,"
左边的这种18-19 8-9才有 四个连续在一起时（任意位置都没有的），其实还是没有
18+1=19有！！",30,1,0,1,0,0,0,2,0,"0.18,0.19,0.08,0.09,0.26",0,"
","
","0.12,0.09,0.02,0.08,0.01",0,"
","
","3.90,3.80,3.85,4.09,3.75",1,2,,,,,,,,,
77,"
","
",1522,客胜,主胜,0.1969,客胜,0.0967,,28,1,0,1,0,0,0,2,0,"0.18,0.19,0.08,0.09,0.26",0,"
","
","0.12,0.09,0.02,0.08,0.01",0,"
","
","3.90,3.80,3.85,4.09,3.75",1,2,,,,,,,,,
77,"
","
",2139,客胜,主胜,0.0878,客胜,0.0208,,10,1,0,1,0,0,0,2,0,"0.18,0.19,0.08,0.09,0.26",0,"
","
","0.12,0.09,0.02,0.08,0.01",0,"
","
","3.90,3.80,3.85,4.09,3.75",1,2,,,,,,,,,
77,"
","
",1510,客胜,主胜,0.0948,客胜,0.0819,,17,1,0,1,0,0,0,2,0,"0.18,0.19,0.08,0.09,0.26",0,"
","
","0.12,0.09,0.02,0.08,0.01",0,"
","
","3.90,3.80,3.85,4.09,3.75",1,2,,,,,,,,,
77,"
","
",1822,客胜,主胜,0.2626,客胜,0.0198,,27,1,0,1,0,0,0,2,0,"0.18,0.19,0.08,0.09,0.26",0,"
","
","0.12,0.09,0.02,0.08,0.01",0,"
","
","3.90,3.80,3.85,4.09,3.75",1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"
","
",573,主胜,主胜,0.292,主胜,0.048,"
这种0时，没有43-25 0-19（需要相等才行）
右边上面的1-4-7 没有递增！！
左边的这种29-36-43有
43没有！！ 18+7=25有 25+4=29有",33,1,0,0,0,0,2,3,1,"0.29,0.18,0.36,0.43,0.25",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.04,0.07,0.01,0.00,0.19",1,0.01|0.04|0.07,0.01|0.04|0.07,,,,,,,,,,,,
78,"
","
",700,主胜,主胜,0.1889,主胜,0.0756,,25,1,0,0,0,0,2,3,1,"0.29,0.18,0.36,0.43,0.25",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.04,0.07,0.01,0.00,0.19",1,0.01|0.04|0.07,0.01|0.04|0.07,,,,,,,,,,,,
78,"
","
",843,主胜,主胜,0.3657,主胜,0.0175,,37,1,0,0,0,0,2,3,1,"0.29,0.18,0.36,0.43,0.25",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.04,0.07,0.01,0.00,0.19",1,0.01|0.04|0.07,0.01|0.04|0.07,,,,,,,,,,,,
78,"
","
",748,主胜,主胜,0.438,主胜,0.0052,,43,1,0,0,0,0,2,3,1,"0.29,0.18,0.36,0.43,0.25",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.04,0.07,0.01,0.00,0.19",1,0.01|0.04|0.07,0.01|0.04|0.07,,,,,,,,,,,,
78,"
","
",1414,主胜,主胜,0.2507,主胜,0.1908,,44,1,0,0,0,0,2,3,1,"0.29,0.18,0.36,0.43,0.25",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.04,0.07,0.01,0.00,0.19",1,0.01|0.04|0.07,0.01|0.04|0.07,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"
","
",573,主胜,主胜,0.292,主胜,0.048,"
这种0时，没有43-25 0-19（两个需要相等才行）！！
18+7=25有
左边的这种29-36-43递增没有 右边的这种4-7-1（连续三个的）也没有
",33,3,0,0,0,0,0,3,1,"0.29,0.18,0.36,0.25,0.43",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.04,0.07,0.01,0.19,0.00",1,0.01|0.04|0.07,0.01|0.04|0.07,"2.05,2.30,2.30,2.15,2.25",1,1,,,,,,,,,
79,"
","
",700,主胜,主胜,0.1889,主胜,0.0756,,25,3,0,0,0,0,0,3,1,"0.29,0.18,0.36,0.25,0.43",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.04,0.07,0.01,0.19,0.00",1,0.01|0.04|0.07,0.01|0.04|0.07,"2.05,2.30,2.30,2.15,2.25",1,1,,,,,,,,,
79,"
","
",843,主胜,主胜,0.3657,主胜,0.0175,,37,3,0,0,0,0,0,3,1,"0.29,0.18,0.36,0.25,0.43",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.04,0.07,0.01,0.19,0.00",1,0.01|0.04|0.07,0.01|0.04|0.07,"2.05,2.30,2.30,2.15,2.25",1,1,,,,,,,,,
79,"
","
",1414,主胜,主胜,0.2507,主胜,0.1908,,44,3,0,0,0,0,0,3,1,"0.29,0.18,0.36,0.25,0.43",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.04,0.07,0.01,0.19,0.00",1,0.01|0.04|0.07,0.01|0.04|0.07,"2.05,2.30,2.30,2.15,2.25",1,1,,,,,,,,,
79,"
","
",748,主胜,主胜,0.438,主胜,0.0052,,43,3,0,0,0,0,0,3,1,"0.29,0.18,0.36,0.25,0.43",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.04,0.07,0.01,0.19,0.00",1,0.01|0.04|0.07,0.01|0.04|0.07,"2.05,2.30,2.30,2.15,2.25",1,1,,,,,,,,,
"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
",,,,,,,,,
80,"
","
",700,主胜,主胜,0.1889,主胜,0.0756,"
这种0时，没有43-25 0-19（要相等才行）！！
18+7=25有
",25,1,2,0,0,0,0,3,1,"0.18,0.29,0.36,0.25,0.43",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.07,0.04,0.01,0.19,0.00",1,0.01|0.04|0.07,0.01|0.04|0.07,"2.30,2.20,2.20,2.37,2.25",1,2,,,,,,,,,
80,"
","
",573,主胜,主胜,0.292,主胜,0.048,,33,1,2,0,0,0,0,3,1,"0.18,0.29,0.36,0.25,0.43",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.07,0.04,0.01,0.19,0.00",1,0.01|0.04|0.07,0.01|0.04|0.07,"2.30,2.20,2.20,2.37,2.25",1,2,,,,,,,,,
80,"
","
",843,主胜,主胜,0.3657,主胜,0.0175,,37,1,2,0,0,0,0,3,1,"0.18,0.29,0.36,0.25,0.43",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.07,0.04,0.01,0.19,0.00",1,0.01|0.04|0.07,0.01|0.04|0.07,"2.30,2.20,2.20,2.37,2.25",1,2,,,,,,,,,
80,"
","
",1414,主胜,主胜,0.2507,主胜,0.1908,,44,1,2,0,0,0,0,3,1,"0.18,0.29,0.36,0.25,0.43",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.07,0.04,0.01,0.19,0.00",1,0.01|0.04|0.07,0.01|0.04|0.07,"2.30,2.20,2.20,2.37,2.25",1,2,,,,,,,,,
80,"
","
",748,主胜,主胜,0.438,主胜,0.0052,,43,1,2,0,0,0,0,3,1,"0.18,0.29,0.36,0.25,0.43",1,0.29|0.36|0.43,0.29|0.36|0.43,"0.07,0.04,0.01,0.19,0.00",1,0.01|0.04|0.07,0.01|0.04|0.07,"2.30,2.20,2.20,2.37,2.25",1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"
","
",260,平局,平局,0.3177,平局,0.036,"

右边上面的0-3-6没有递增（连续3个），
左边的单独这种31-19-25时没有递增！！！
但是有这种0：有31-34-0-3； 34-25 0-8 没有（必须要一样大）
31+3=25+8 没有！！
47没有！！
31+3=34 有 31+3=34+0有 19+6=25有",34,0,0,0,1,0,1,2,0,"0.31,0.34,0.19,0.47,0.25",1,0.19|0.25|0.31,0.19|0.25|0.31,"0.03,0.00,0.06,0.01,0.08",1,0.00|0.03|0.06,0.00|0.03|0.06,,,,,,,,,,,,
81,"
","
",1987,平局,平局,0.3413,平局,0.0003,,34,0,0,0,1,0,1,2,0,"0.31,0.34,0.19,0.47,0.25",1,0.19|0.25|0.31,0.19|0.25|0.31,"0.03,0.00,0.06,0.01,0.08",1,0.00|0.03|0.06,0.00|0.03|0.06,,,,,,,,,,,,
81,"
","
",966,主胜,平局,0.197,平局,0.0603,,25,0,0,0,1,0,1,2,0,"0.31,0.34,0.19,0.47,0.25",1,0.19|0.25|0.31,0.19|0.25|0.31,"0.03,0.00,0.06,0.01,0.08",1,0.00|0.03|0.06,0.00|0.03|0.06,,,,,,,,,,,,
81,"
","
",641,平局,平局,0.4743,平局,0.0153,,48,0,0,0,1,0,1,2,0,"0.31,0.34,0.19,0.47,0.25",1,0.19|0.25|0.31,0.19|0.25|0.31,"0.03,0.00,0.06,0.01,0.08",1,0.00|0.03|0.06,0.00|0.03|0.06,,,,,,,,,,,,
81,"
","
",792,客胜,平局,0.2517,平局,0.0898,,33,0,0,0,1,0,1,2,0,"0.31,0.34,0.19,0.47,0.25",1,0.19|0.25|0.31,0.19|0.25|0.31,"0.03,0.00,0.06,0.01,0.08",1,0.00|0.03|0.06,0.00|0.03|0.06,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,西悉尼流浪者,,1503,主胜,主胜,0.4033,主胜,0.1016,"0-5-10 没有（因为是单独的一个 且有0）
这种0-5  49-43没有（要一样大才行）",50,(5)2-7,(5)1-6,(1)7-6,,,,1,1,1,,,,,,,,,,,,,,,,,,,
82,西悉尼流浪者,,170,主胜,主胜,0.4256,主胜,0.1909,,61,(4)5-9,(9)5-14,(3)1-4,,,,,1,1,,,,,,,,,,,,,,,,,,,
82,西悉尼流浪者,,1461,主胜,主胜,0.49,主胜,0.0586,,54,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
82,西悉尼流浪者,,748,主胜,主胜,0.438,主胜,0.0052,,43,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
82,西悉尼流浪者,,843,主胜,主胜,0.3657,主胜,0.0175,,37,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,冠忠南区,,700,主胜,主胜,0.1889,主胜,0.0756,"17-18没有！！
1-1-4-4有
这种1-4-7有 特殊情况的位置 ；单独特殊情况时，则没有",25,(4)11-7,(14)21-7,(10)9-19,,,,1,1,1,,,,,,,,,,,,,,,,,,,
83,冠忠南区,,573,主胜,主胜,0.292,主胜,0.048,,33,(0)3-3,(3)0-3,(3)0-3,,,,,1,1,,,,,,,,,,,,,,,,,,,
83,冠忠南区,,843,主胜,主胜,0.3657,主胜,0.0175,,37,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
83,冠忠南区,,2267,平局,主胜,0.0895,主胜,0.0181,,9,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
83,冠忠南区,,802,主胜,主胜,0.1713,主胜,0.0477,,21,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"
","
",700,主胜,主胜,0.1889,主胜,0.0756,整体大有,"
",0,0,1,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,
1,"
","
",573,主胜,主胜,0.292,主胜,0.048,,"
",0,0,1,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,
1,"
","
",2267,平局,主胜,0.0895,主胜,0.0181,,"
",0,0,1,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,
1,"
","
",843,主胜,主胜,0.3657,主胜,0.0175,,"
",0,0,1,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,
1,"
","
",802,主胜,主胜,0.1713,主胜,0.0477,,"
",0,0,1,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,光州FC,,966,主胜,平局,0.197,平局,0.0603,"这种0时，31-34  0-3 有    34-25 0-8没有 （要相同才行）
0.0003有
3-8-13 0-3-6这种有两个递增
19+6=25有 31+3=34有 31+3=34+0没有（这种只有相邻或隔一个才有）
左边上面的19-25-31（连续三个的没有）",25,(0)6-6,(4)2-6,(7)2-9,,,,0,1,0,,,,,,,,,,,,,,,,,,,
84,光州FC,,260,平局,平局,0.3177,平局,0.036,,34,(1)3-2,(0)5-5,(3)8-5,,,,,1,0,,,,,,,,,,,,,,,,,,,
84,光州FC,,792,客胜,平局,0.2517,平局,0.0898,,33,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,
84,光州FC,,1847,平局,平局,0.238,平局,0.1381,,36,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,
84,光州FC,,1987,平局,平局,0.3413,平局,0.0003,,34,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,2164,主胜,平局,0.177,主胜,0.0104,,18,(3)7-4,(7)0-7,(2)7-5,,,,2,1,1,,,,,,,,,,,,,,,,,,,
85,,,72,平局,平局,0.0687,主胜,0.0867,"17=18没有  17+1=18有  有6+20=18+8有
6-6 8-8有 三个8没有  整体大有
 两个0.06时 也没有0.01
",14,(7)0-7,(12)0-12,(12)0-12,,,,,1,1,,,,,,,,,,,,,,,,,,,
85,,,1060,平局,平局,0.1346,主胜,0.0801,,21,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
85,,,1543,主胜,平局,0.0645,主胜,0.206,,26,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
85,,,486,主胜,平局,0.1821,主胜,0.0836,,26,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,巴日托,1822,客胜,主胜,0.2626,客胜,0.0198,"0.0198-0.0024 一种
右边的 1-5-9 有
38没有！！！
26+9=35有
这种的26+9=35+0有",27,(1)8-9,(14)17-3,(18)1-19,,,,1,0,0,,,,,,,,,,,,,,,,,,,
86,,巴日托,85,客胜,主胜,0.3506,客胜,0.0024,,35,(10)1-11,(2)5-7,(1)4-3,,,,,0,0,,,,,,,,,,,,,,,,,,,
86,,巴日托,799,客胜,主胜,0.1811,客胜,0.1238,,30,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
86,,巴日托,1406,客胜,主胜,0.3832,客胜,0.05,,43,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
86,,巴日托,1522,客胜,主胜,0.1969,客胜,0.0967,,28,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
