比赛编号,PRO_pattern_0_1_2,PRO_pattern_1_2_3,PRO_pattern_2_3_4,ENS_pattern_0_1_2,ENS_pattern_1_2_3,ENS_pattern_2_3_4,比赛结果
290,(2)1-3,(4)0-4,(2)0-2,(2)0-2,(3)2-5,(3)5-2,主胜
291,(4)0-4,(5)0-5,(1)2-3,(2)0-2,(1)0-1,(0)1-1,客胜
292,(2)0-2,(2)0-2,(0)0-0,(1)1-2,(0)1-1,(0)1-1,客胜
293,(1)0-1,(0)1-1,(3)2-5,(1)0-1,(0)1-1,(0)1-1,平局
294,(1)0-1,(1)2-1,(1)2-3,(2)0-2,(1)0-1,(0)1-1,客胜
295,(1)1-2,(1)0-1,(8)0-8,(6)2-8,(10)0-10,(7)0-7,主胜
296,(4)1-5,(5)0-5,(4)0-4,(6)0-6,(6)0-6,(6)0-6,客胜
297,(2)5-3,(2)1-3,(7)1-8,(5)1-6,(7)1-8,(6)1-7,客胜
298,(3)0-3,(1)0-1,(1)0-1,(8)0-8,(10)0-10,(8)10-2,主胜
299,(4)1-5,(5)0-5,(4)0-4,(6)0-6,(6)0-6,(6)0-6,客胜
300,(2)5-3,(2)1-3,(7)1-8,(5)1-6,(7)1-8,(6)1-7,客胜
301,(3)0-3,(1)0-1,(1)0-1,(8)0-8,(10)0-10,(8)10-2,主胜
302,(4)0-4,(2)2-4,(4)2-6,(1)0-1,(1)0-1,(1)0-1,主胜
303,(2)2-4,(1)6-7,(3)8-5,(2)0-2,(2)0-2,(2)0-2,平局
304,(3)2-5,(1)3-4,(4)0-4,(0)1-1,(2)3-1,(2)4-2,主胜
305,(5)7-2,(9)0-9,(2)0-2,(1)5-4,(9)0-9,(2)0-2,客胜
306,(0)1-1,(0)1-1,(3)2-5,(5)1-6,(7)13-6,(1)9-10,主胜
307,(6)0-6,(4)6-2,(0)4-4,(5)0-5,(0)0-0,(1)0-1,主胜
308,(3)1-4,(2)3-1,(1)3-4,(5)1-6,(7)1-8,(9)0-9,客胜
309,(8)12-4,(8)8-16,(12)18-6,(5)8-3,(6)7-1,(4)5-1,平局
310,(7)0-7,(2)9-7,(2)9-7,(0)0-0,(0)0-0,(6)0-6,平局
311,(7)0-7,(7)0-7,(2)9-7,(0)0-0,(6)0-6,(6)0-6,平局
312,(0)1-1,(1)0-1,(3)0-3,(2)0-2,(0)1-1,(1)2-1,客胜
313,(1)2-3,(2)0-2,(4)0-4,(2)1-3,(3)4-1,(5)6-1,平局
314,(7)9-2,(3)5-2,(1)4-3,(1)2-3,(2)0-2,(8)0-8,主胜
315,(2)3-1,(4)1-5,(3)8-5,(4)7-3,(3)5-2,(2)4-2,主胜
316,(0)1-1,(0)1-1,(0)1-1,(6)7-1,(1)2-1,(1)3-2,平局
317,(4)0-4,(5)0-5,(1)5-4,(2)0-2,(1)0-1,(1)2-1,客胜
318,(3)4-1,(0)1-1,(2)4-2,(1)1-2,(0)1-1,(2)1-3,平局
319,(7)9-2,(1)1-2,(1)0-1,(1)2-3,(6)2-8,(10)0-10,主胜
320,(1)4-5,(3)5-2,(5)7-2,(1)2-3,(2)0-2,(10)2-12,主胜
321,(3)1-4,(1)0-1,(3)4-1,(3)0-3,(1)1-2,(0)1-1,客胜
322,(2)4-2,(3)4-1,(14)15-1,(0)4-4,(4)4-8,(0)6-6,客胜
323,(2)0-2,(0)1-1,(4)1-5,(0)0-0,(1)0-1,(0)1-1,平局
324,(2)0-2,(2)0-2,(1)0-1,(5)0-5,(7)0-7,(3)2-5,主胜
325,(4)6-2,(2)4-2,(1)2-3,(1)0-1,(1)0-1,(1)1-2,主胜
326,(7)9-2,(3)5-2,(1)4-3,(1)2-3,(2)0-2,(8)0-8,主胜
327,(1)2-1,(1)2-3,(2)4-2,(1)1-2,(1)1-2,(1)0-1,主胜
328,(2)0-2,(2)0-2,(2)0-2,(0)0-0,(4)0-4,(2)3-1,平局
329,(3)1-4,(2)2-4,(5)2-7,(5)1-6,(0)1-1,(1)0-1,客胜
330,(1)2-1,(3)0-3,(1)2-3,(1)0-1,(0)1-1,(2)0-2,平局
331,(9)10-1,(1)6-5,(3)6-3,(1)0-1,(1)0-1,(1)1-2,平局
332,(4)10-6,(4)1-5,(1)5-4,(4)2-6,(1)5-6,(5)8-3,客胜
333,(2)2-4,(4)5-1,(0)1-1,(3)4-1,(3)4-1,(0)2-2,平局
334,(4)6-2,(0)2-2,(1)3-4,(0)0-0,(1)0-1,(1)0-1,主胜
335,(1)0-1,(0)1-1,(3)2-5,(1)0-1,(0)1-1,(0)1-1,平局
336,(4)6-2,(0)2-2,(1)3-4,(0)0-0,(1)0-1,(1)0-1,主胜
337,(7)12-5,(4)9-5,(14)0-14,(3)3-6,(1)2-3,(3)5-2,客胜
338,(9)0-9,(0)0-0,(2)0-2,(13)17-4,(13)15-2,(3)6-9,客胜
339,(4)6-2,(0)4-4,(1)3-4,(0)0-0,(1)0-1,(1)0-1,主胜
340,(3)3-6,(2)3-1,(4)1-5,(0)5-5,(4)7-3,(7)0-7,主胜
341,(1)1-2,(0)2-2,(1)2-3,(4)6-2,(5)6-1,(1)4-3,平局
342,(4)0-4,(3)4-1,(1)2-3,(2)0-2,(1)2-1,(0)1-1,客胜
343,(3)4-7,(1)6-7,(3)8-5,(0)0-0,(2)0-2,(2)0-2,平局
344,(1)1-2,(2)0-2,(3)0-3,(5)0-5,(5)0-5,(1)0-1,客胜
345,(3)0-3,(3)0-3,(0)3-3,(8)0-8,(6)8-2,(2)6-4,主胜
346,(1)2-1,(1)0-1,(2)1-3,(1)3-2,(3)2-5,(2)0-2,主胜
347,(2)0-2,(0)1-1,(6)7-1,(0)0-0,(1)0-1,(1)0-1,平局
348,(4)6-2,(0)2-2,(8)10-2,(1)0-1,(1)0-1,(1)0-1,平局
349,(9)13-4,(3)1-4,(10)11-1,(2)3-5,(2)3-5,(6)7-1,主胜
350,(1)0-1,(0)0-0,(1)0-1,(1)0-1,(2)1-3,(1)2-1,客胜
351,(6)7-1,(3)8-5,(1)3-2,(1)0-1,(1)0-1,(1)0-1,主胜
352,(10)11-1,(9)1-10,(1)2-1,(2)3-1,(0)3-3,(3)0-3,客胜
353,(3)6-3,(6)0-6,(2)0-2,(4)3-7,(3)10-7,(6)4-10,客胜
354,(2)2-4,(4)0-4,(19)0-19,(1)0-1,(1)0-1,(1)0-1,平局
355,(1)2-1,(2)0-2,(0)2-2,(2)1-3,(2)1-3,(3)0-3,客胜
356,(1)2-1,(0)2-2,(2)0-2,(2)1-3,(2)1-3,(1)0-1,客胜
357,(0)2-2,(1)1-2,(1)1-2,(1)3-2,(3)4-1,(0)1-1,客胜
358,(2)0-2,(2)0-2,(8)10-2,(14)2-16,(16)17-1,(5)11-6,客胜
359,(2)0-2,(2)0-2,(2)0-2,(1)1-2,(0)2-2,(2)3-1,客胜
360,(3)1-4,(5)0-5,(5)0-5,(2)0-2,(0)1-1,(0)1-1,客胜
361,(3)3-6,(1)4-5,(1)4-5,(0)5-5,(1)2-3,(4)7-3,主胜
362,(7)0-7,(6)1-7,(4)6-2,(1)0-1,(1)0-1,(1)2-1,客胜
363,(1)2-1,(0)3-3,(1)2-3,(3)4-7,(5)2-7,(5)2-7,客胜
364,(1)2-1,(0)1-1,(1)0-1,(2)0-2,(2)0-2,(3)0-3,客胜
365,(0)1-1,(1)2-1,(1)1-2,(2)0-2,(0)1-1,(1)2-1,平局
366,(1)4-5,(4)1-5,(3)3-6,(1)2-3,(3)5-2,(4)5-1,主胜
367,(5)6-1,(1)0-1,(9)0-9,(1)0-1,(1)0-1,(1)0-1,客胜
368,(10)3-13,(7)10-3,(8)10-2,(1)1-2,(4)1-5,(0)3-3,平局
369,(1)3-4,(3)2-5,(1)2-3,(2)3-1,(4)0-4,(4)0-4,客胜
370,(9)13-4,(7)12-5,(10)1-11,(2)3-5,(3)0-3,(7)0-7,平局
371,(2)2-4,(0)3-3,(1)1-2,(2)0-2,(2)0-2,(2)0-2,主胜
372,(1)3-4,(3)5-2,(3)2-5,(0)5-5,(4)3-7,(1)3-4,主胜
373,(1)0-1,(0)1-1,(6)7-1,(1)0-1,(0)1-1,(0)1-1,平局
374,(4)1-5,(2)3-1,(3)4-7,(1)2-3,(3)2-5,(1)7-8,客胜
375,(4)5-9,(0)7-7,(2)5-7,(4)2-6,(7)8-1,(1)1-2,平局
376,(6)0-6,(0)0-0,(2)0-2,(4)0-4,(2)0-2,(1)2-1,主胜
377,(6)0-6,(0)0-0,(2)0-2,(4)0-4,(2)0-2,(1)2-1,主胜
378,(1)4-5,(4)1-5,(6)1-7,(1)2-3,(3)5-2,(7)0-7,主胜
379,(0)1-1,(0)1-1,(0)1-1,(6)7-1,(1)2-1,(1)3-2,平局
380,(2)1-3,(0)3-3,(1)3-4,(7)2-9,(5)2-7,(3)10-7,客胜
381,(14)15-1,(9)3-12,(10)12-2,(2)0-2,(3)0-3,(1)1-2,平局
382,(7)12-5,(5)0-5,(3)1-4,(3)0-3,(3)0-3,(8)0-8,主胜
383,(0)1-1,(1)2-1,(16)17-1,(2)0-2,(0)1-1,(0)1-1,平局
384,(7)0-7,(0)0-0,(4)0-4,(2)3-1,(2)3-1,(2)3-1,平局
385,(1)3-4,(4)0-4,(0)4-4,(4)0-4,(2)3-1,(2)3-5,平局
386,(3)1-4,(2)2-4,(3)5-2,(5)1-6,(0)1-1,(2)1-3,客胜
387,(1)2-1,(0)1-1,(0)1-1,(1)2-3,(1)3-2,(1)2-1,平局
388,(4)6-2,(3)5-2,(1)3-4,(0)0-0,(0)0-0,(1)0-1,主胜
389,(4)6-2,(0)2-2,(2)1-3,(0)0-0,(1)0-1,(1)0-1,主胜
390,(5)1-6,(4)6-2,(5)7-2,(0)0-0,(0)0-0,(1)0-1,平局
391,(1)3-4,(2)3-1,(1)1-2,(5)7-2,(7)0-7,(5)0-5,平局
392,(3)2-5,(1)3-4,(4)0-4,(0)1-1,(2)3-1,(2)4-2,主胜
393,(1)6-5,(11)0-11,(2)0-2,(0)3-3,(4)6-2,(2)0-2,主胜
394,(4)5-1,(0)1-1,(7)9-2,(0)1-1,(0)1-1,(1)2-1,客胜
395,(7)9-2,(3)4-7,(1)4-3,(1)2-3,(3)0-3,(8)0-8,主胜
396,(1)0-1,(1)0-1,(0)1-1,(1)1-2,(1)1-2,(0)1-1,平局
397,(3)2-5,(6)7-1,(6)7-1,(0)1-1,(0)1-1,(2)1-3,主胜
398,(0)1-1,(1)1-2,(0)3-3,(6)7-1,(3)5-2,(1)5-4,平局
399,(8)9-1,(9)0-9,(0)9-9,(2)1-3,(2)1-3,(1)1-2,客胜
400,(2)0-2,(2)2-4,(2)2-4,(0)0-0,(1)0-1,(0)1-1,平局
401,(7)9-2,(1)4-5,(0)4-4,(1)2-3,(1)2-3,(2)3-5,主胜
402,(8)9-1,(3)3-6,(5)3-8,(0)3-3,(2)3-1,(4)0-4,主胜
403,(4)6-2,(3)5-2,(1)3-4,(0)0-0,(0)0-0,(1)0-1,主胜
404,(4)0-4,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
405,(0)3-3,(0)3-3,(2)2-4,(1)2-1,(1)3-4,(1)5-4,主胜
406,(2)3-1,(1)0-1,(4)5-1,(4)0-4,(4)0-4,(1)0-1,平局
407,(4)2-6,(7)2-9,(10)1-11,(0)5-5,(3)8-5,(13)0-13,平局
408,(4)0-4,(5)0-5,(1)2-3,(2)0-2,(1)0-1,(0)1-1,客胜
409,(4)2-6,(2)2-4,(18)22-4,(1)0-1,(5)0-5,(3)5-2,主胜
410,(10)13-3,(12)13-1,(0)1-1,(1)2-3,(1)3-2,(1)3-2,平局
411,(1)4-3,(2)2-4,(0)1-1,(1)0-1,(0)1-1,(6)1-7,客胜
412,(2)1-3,(3)4-1,(1)0-1,(0)1-1,(4)1-5,(6)0-6,平局
413,(10)3-13,(4)3-7,(3)10-7,(1)1-2,(3)0-3,(1)1-2,平局
414,(2)1-3,(4)0-4,(3)1-4,(0)1-1,(3)1-4,(4)1-5,平局
415,(4)0-4,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
416,(2)0-2,(2)0-2,(1)0-1,(0)1-1,(1)1-2,(3)0-3,客胜
417,(1)0-1,(7)0-7,(1)7-6,(2)2-4,(2)4-2,(0)2-2,主胜
418,(2)5-3,(3)0-3,(3)0-3,(3)1-4,(2)2-4,(4)1-5,主胜
419,(2)4-2,(2)4-2,(2)0-2,(2)3-1,(2)3-1,(3)4-1,客胜
420,(4)0-4,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
421,(4)0-4,(3)1-4,(7)5-12,(2)3-5,(8)0-8,(4)0-4,平局
422,(1)2-1,(0)2-2,(4)0-4,(2)3-1,(0)2-2,(2)0-2,客胜
423,(3)3-6,(3)3-6,(1)4-5,(0)5-5,(10)0-10,(4)7-3,主胜
424,(1)1-2,(2)0-2,(3)2-5,(5)0-5,(5)0-5,(4)5-1,客胜
425,(4)0-4,(2)1-3,(3)0-3,(2)0-2,(2)0-2,(1)0-1,客胜
426,(1)0-1,(0)1-1,(4)6-2,(1)0-1,(0)1-1,(2)0-2,平局
427,(1)4-5,(3)2-5,(5)2-7,(1)2-3,(10)2-12,(12)1-13,主胜
428,(14)0-14,(8)0-8,(2)3-5,(0)0-0,(5)0-5,(5)0-5,客胜
429,(4)5-1,(3)5-2,(2)0-2,(0)4-4,(2)1-3,(0)1-1,客胜
430,(1)2-1,(1)0-1,(1)1-2,(3)1-4,(5)0-5,(1)2-3,客胜
431,(3)1-4,(4)1-5,(0)1-1,(1)2-1,(1)2-1,(1)2-1,平局
432,(2)4-2,(0)2-2,(2)1-3,(1)0-1,(1)0-1,(1)0-1,主胜
433,(2)0-2,(2)0-2,(1)2-1,(3)5-2,(7)0-7,(2)0-2,主胜
434,(4)0-4,(6)0-6,(4)6-2,(1)0-1,(1)0-1,(0)0-0,主胜
435,(1)4-3,(0)4-4,(4)0-4,(8)1-9,(3)6-3,(2)1-3,主胜
436,(2)6-4,(2)3-1,(1)0-1,(7)1-8,(7)1-8,(8)9-1,平局
437,(1)1-2,(1)0-1,(8)0-8,(6)2-8,(10)0-10,(7)0-7,主胜
438,(1)7-6,(1)7-6,(5)6-1,(1)0-1,(0)0-0,(1)0-1,平局
439,(4)0-4,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
440,(3)0-3,(3)0-3,(1)1-2,(4)5-1,(4)5-1,(4)5-1,客胜
441,(3)0-3,(3)0-3,(1)1-2,(4)5-1,(4)5-1,(4)5-1,客胜
442,(9)1-10,(5)1-6,(6)0-6,(0)6-6,(9)3-12,(7)11-4,主胜
443,(10)3-13,(1)7-6,(0)3-3,(1)1-2,(8)1-9,(1)5-4,平局
444,(5)1-6,(4)6-2,(2)0-2,(0)0-0,(0)0-0,(0)0-0,平局
445,(0)1-1,(1)2-1,(2)3-1,(2)0-2,(0)1-1,(0)1-1,平局
446,(1)0-1,(0)0-0,(1)0-1,(2)1-3,(2)1-3,(1)2-1,客胜
447,(1)2-1,(1)3-4,(2)3-1,(1)3-2,(2)3-1,(4)0-4,主胜
448,(3)6-3,(4)9-13,(10)16-6,(2)3-5,(6)1-7,(6)1-7,平局
449,(4)6-2,(0)4-4,(3)4-1,(0)0-0,(1)0-1,(1)0-1,主胜
450,(1)1-2,(1)0-1,(4)0-4,(6)2-8,(10)0-10,(13)0-13,主胜
451,(1)0-1,(4)0-4,(3)4-1,(2)1-3,(3)4-1,(1)0-1,平局
452,(1)0-1,(2)0-2,(1)1-2,(4)2-6,(4)2-6,(6)7-1,平局
453,(3)4-7,(10)11-1,(8)10-2,(3)1-4,(1)1-2,(1)4-3,主胜
454,(4)0-4,(0)2-2,(8)10-2,(2)0-2,(0)2-2,(2)1-3,客胜
455,(0)1-1,(1)2-1,(2)3-5,(1)0-1,(0)1-1,(0)1-1,平局
456,(11)1-12,(12)1-13,(10)2-12,(1)0-1,(1)0-1,(1)0-1,客胜
457,(0)1-1,(0)1-1,(2)4-2,(1)0-1,(0)0-0,(0)0-0,客胜
458,(6)3-9,(2)7-5,(0)5-5,(7)2-9,(8)1-9,(2)1-3,主胜
459,(6)0-6,(4)6-2,(0)4-4,(5)0-5,(5)0-5,(1)0-1,主胜
460,(1)2-1,(0)2-2,(2)0-2,(2)3-1,(0)2-2,(2)0-2,客胜
461,(6)0-6,(4)6-2,(0)4-4,(5)0-5,(5)0-5,(1)0-1,主胜
462,(2)0-2,(0)2-2,(2)4-2,(5)0-5,(1)2-3,(1)4-3,客胜
463,(3)3-6,(7)9-2,(8)3-11,(6)9-3,(7)1-8,(5)8-3,主胜
464,(2)0-2,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
465,(2)5-7,(12)0-12,(4)4-8,(6)9-3,(11)1-12,(12)1-13,主胜
466,(2)2-4,(1)6-7,(3)8-5,(2)0-2,(2)0-2,(2)0-2,平局
467,(6)0-6,(0)0-0,(2)0-2,(0)1-1,(1)0-1,(1)0-1,客胜
468,(1)3-4,(8)11-3,(4)11-7,(4)2-6,(5)1-6,(1)4-3,平局
469,(1)0-1,(0)1-1,(1)2-1,(1)0-1,(1)0-1,(1)0-1,平局
470,(1)0-1,(4)0-4,(2)1-3,(2)1-3,(0)2-2,(6)2-8,平局
471,(4)5-1,(2)4-2,(4)0-4,(0)1-1,(1)2-1,(0)3-3,客胜
472,(3)4-1,(9)4-13,(10)7-17,(7)0-7,(6)7-1,(1)0-1,主胜
473,(2)2-4,(0)3-3,(1)3-4,(0)2-2,(5)2-7,(3)10-7,客胜
474,(4)5-1,(1)0-1,(2)0-2,(0)4-4,(7)1-8,(0)1-1,客胜
475,(2)0-2,(2)2-4,(3)4-1,(1)3-2,(5)0-5,(3)4-1,客胜
476,(2)1-3,(1)0-1,(5)0-5,(5)0-5,(3)2-5,(3)2-5,主胜
477,(3)0-3,(3)6-3,(5)7-2,(2)1-3,(2)3-1,(2)3-1,客胜
478,(1)2-1,(0)3-3,(2)3-1,(1)3-2,(3)0-3,(4)0-4,主胜
479,(4)6-2,(0)2-2,(2)1-3,(0)0-0,(1)0-1,(1)0-1,主胜
480,(8)4-12,(14)16-2,(10)12-2,(3)1-4,(3)1-4,(2)3-1,平局
481,(4)0-4,(4)0-4,(2)1-3,(2)0-2,(0)1-1,(0)1-1,客胜
482,(0)1-1,(0)2-2,(4)0-4,(2)0-2,(1)2-1,(0)1-1,平局
483,(2)2-4,(4)0-4,(19)0-19,(1)0-1,(1)0-1,(1)0-1,主胜
484,(2)0-2,(1)1-2,(3)4-1,(1)1-2,(2)1-3,(4)0-4,客胜
485,(2)4-2,(2)0-2,(0)0-0,(2)3-1,(4)0-4,(1)0-1,客胜
486,(3)7-4,(2)7-5,(0)12-12,(7)0-7,(0)0-0,(1)0-1,主胜
487,(4)6-2,(0)4-4,(2)1-3,(0)0-0,(1)0-1,(1)0-1,主胜
488,(5)1-6,(4)1-5,(0)1-1,(0)0-0,(1)0-1,(1)1-2,平局
489,(4)2-6,(2)2-4,(3)4-1,(1)0-1,(5)0-5,(3)1-4,主胜
490,(0)0-0,(1)0-1,(0)1-1,(0)1-1,(0)2-2,(4)0-4,平局
491,(0)0-0,(1)0-1,(0)1-1,(0)1-1,(0)2-2,(4)0-4,平局
492,(2)5-3,(2)1-3,(2)1-3,(5)1-6,(7)1-8,(2)3-5,客胜
493,(1)7-6,(4)10-6,(4)10-6,(1)0-1,(1)1-2,(3)0-3,平局
494,(2)1-3,(9)12-3,(13)15-2,(0)3-3,(1)1-2,(3)2-5,平局
495,(0)1-1,(1)0-1,(2)0-2,(1)0-1,(1)0-1,(1)0-1,客胜
496,(1)1-2,(0)3-3,(0)3-3,(5)0-5,(3)2-5,(5)7-2,平局
497,(1)0-1,(4)0-4,(3)4-1,(2)1-3,(3)4-1,(1)0-1,平局
498,(0)2-2,(2)0-2,(0)2-2,(0)2-2,(2)0-2,(3)0-3,平局
499,(2)2-4,(4)6-2,(5)6-11,(4)7-3,(3)6-3,(7)1-8,平局
500,(0)2-2,(4)2-6,(4)2-6,(0)2-2,(0)2-2,(2)0-2,平局
501,(4)0-4,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
502,(0)1-1,(1)0-1,(3)0-3,(2)0-2,(0)1-1,(1)2-1,客胜
503,(2)0-2,(6)0-6,(2)2-4,(0)1-1,(0)2-2,(2)4-2,客胜
504,(6)2-8,(8)10-2,(1)1-2,(0)0-0,(0)0-0,(1)0-1,主胜
505,(1)0-1,(1)0-1,(1)2-1,(1)1-2,(1)1-2,(2)2-4,平局
506,(1)4-3,(2)5-3,(2)5-3,(2)5-3,(5)3-8,(11)0-11,主胜
507,(2)0-2,(0)1-1,(8)1-9,(2)0-2,(2)0-2,(0)1-1,客胜
508,(1)2-1,(1)2-3,(2)0-2,(2)3-1,(0)1-1,(2)0-2,客胜
509,(1)0-1,(2)0-2,(0)1-1,(4)2-6,(0)3-3,(1)2-1,平局
510,(7)9-2,(3)4-7,(4)4-8,(1)2-3,(3)0-3,(2)5-3,主胜
511,(0)1-1,(1)0-1,(1)1-2,(2)0-2,(0)1-1,(0)1-1,客胜
512,(2)1-3,(1)0-1,(1)2-1,(2)0-2,(3)2-5,(1)3-2,主胜
513,(2)3-1,(4)1-5,(1)7-6,(4)7-3,(3)5-2,(3)1-4,主胜
514,(3)6-3,(6)0-6,(7)0-7,(3)0-3,(3)0-3,(4)0-4,主胜
515,(1)2-1,(1)2-3,(3)1-4,(2)0-2,(0)1-1,(1)0-1,主胜
516,(2)5-3,(2)1-3,(1)3-4,(5)1-6,(7)1-8,(9)0-9,客胜
517,(5)7-12,(1)9-10,(5)2-7,(6)7-1,(6)7-1,(4)5-1,客胜
518,(5)7-2,(2)0-2,(8)0-8,(0)0-0,(0)0-0,(0)0-0,平局
519,(0)1-1,(1)0-1,(1)2-1,(1)0-1,(1)0-1,(1)0-1,主胜
520,(9)10-1,(1)6-5,(1)2-3,(1)0-1,(1)0-1,(1)0-1,平局
521,(0)4-4,(2)4-2,(1)2-3,(0)0-0,(1)0-1,(1)1-2,主胜
522,(1)2-3,(5)2-7,(2)7-9,(3)5-2,(4)7-3,(2)1-3,客胜
523,(1)4-3,(0)4-4,(1)4-3,(8)1-9,(3)6-3,(3)6-3,主胜
524,(1)2-1,(1)2-3,(3)1-4,(2)0-2,(0)1-1,(1)0-1,主胜
525,(0)1-1,(2)0-2,(2)0-2,(1)0-1,(1)0-1,(2)1-3,客胜
526,(0)0-0,(6)0-6,(4)6-2,(2)0-2,(0)2-2,(1)1-2,主胜
527,(1)2-1,(1)0-1,(1)2-1,(1)3-2,(3)2-5,(2)0-2,主胜
528,(2)4-2,(0)2-2,(1)3-4,(1)0-1,(1)0-1,(1)0-1,主胜
529,(0)1-1,(1)2-1,(3)0-3,(0)1-1,(2)0-2,(2)0-2,主胜
530,(0)2-2,(1)1-2,(1)1-2,(1)3-2,(3)4-1,(0)1-1,客胜
531,(1)3-4,(2)1-3,(2)3-1,(0)1-1,(1)2-1,(3)0-3,平局
532,(0)1-1,(3)4-1,(2)3-1,(0)1-1,(1)1-2,(0)3-3,客胜
533,(5)7-2,(2)0-2,(2)0-2,(0)0-0,(0)0-0,(4)0-4,平局
534,(2)2-4,(6)0-6,(19)0-19,(1)0-1,(1)0-1,(1)0-1,主胜
535,(3)3-6,(2)3-1,(1)4-5,(0)5-5,(4)7-3,(4)7-3,主胜
536,(4)0-4,(4)0-4,(0)2-2,(2)0-2,(0)1-1,(1)1-2,客胜
537,(1)2-1,(1)2-3,(3)1-4,(2)0-2,(0)1-1,(1)0-1,主胜
538,(2)0-2,(2)2-4,(5)6-1,(4)5-1,(1)2-1,(0)2-2,客胜
539,(1)4-5,(1)4-5,(3)4-1,(2)0-2,(0)1-1,(0)1-1,客胜
540,(5)0-5,(2)0-2,(7)9-2,(1)4-3,(4)4-8,(8)10-2,主胜
541,(6)2-8,(0)8-8,(2)7-9,(6)7-1,(1)2-1,(3)2-5,平局
542,(7)9-2,(3)4-7,(0)4-4,(1)2-3,(3)0-3,(2)3-5,主胜
543,(0)5-5,(8)1-9,(8)1-9,(1)0-1,(1)1-2,(2)0-2,客胜
544,(2)1-3,(3)1-4,(3)1-4,(0)4-4,(2)3-1,(1)2-3,平局
545,(3)0-3,(1)0-1,(1)0-1,(8)0-8,(10)0-10,(8)10-2,主胜
546,(5)7-2,(2)0-2,(8)0-8,(0)0-0,(0)0-0,(0)0-0,平局
547,(4)6-2,(0)4-4,(3)4-1,(0)0-0,(1)0-1,(1)0-1,主胜
548,(1)1-2,(3)6-3,(0)9-9,(2)3-1,(2)1-3,(2)1-3,主胜
549,(2)2-4,(6)0-6,(2)0-2,(1)0-1,(1)0-1,(1)0-1,主胜
550,(3)2-5,(7)0-7,(8)0-8,(0)1-1,(1)1-2,(5)2-7,主胜
551,(3)1-4,(1)0-1,(0)1-1,(3)0-3,(1)1-2,(1)2-1,客胜
552,(0)1-1,(3)4-1,(1)4-5,(0)1-1,(1)1-2,(1)1-2,客胜
553,(0)2-2,(2)2-4,(2)6-4,(3)1-4,(5)0-5,(0)0-0,主胜
554,(0)1-1,(2)0-2,(0)1-1,(1)0-1,(1)0-1,(1)2-1,客胜
555,(3)1-4,(2)2-4,(3)5-2,(5)1-6,(0)1-1,(2)1-3,客胜
556,(0)0-0,(2)0-2,(1)2-1,(1)0-1,(1)0-1,(1)0-1,客胜
557,(3)1-4,(1)3-4,(2)3-1,(3)0-3,(2)3-1,(1)0-1,客胜
558,(4)0-4,(2)0-2,(2)0-2,(2)0-2,(1)2-1,(3)0-3,客胜
559,(3)4-1,(5)6-1,(1)3-4,(4)6-2,(6)8-2,(9)1-10,客胜
560,(3)6-3,(2)9-7,(10)16-6,(2)3-5,(8)0-8,(6)1-7,平局
561,(2)0-2,(0)1-1,(1)0-1,(0)0-0,(1)0-1,(0)1-1,平局
562,(1)1-2,(1)2-1,(3)1-4,(4)6-2,(2)4-2,(2)0-2,平局
563,(2)2-4,(0)3-3,(0)3-3,(2)0-2,(2)0-2,(1)0-1,主胜
564,(5)6-1,(6)0-6,(1)0-1,(1)0-1,(0)0-0,(2)0-2,客胜
565,(2)0-2,(1)2-1,(1)2-1,(5)0-5,(1)2-3,(1)3-2,主胜
566,(2)0-2,(1)2-1,(1)0-1,(5)0-5,(2)0-2,(3)2-5,主胜
567,(1)1-2,(0)2-2,(0)2-2,(2)0-2,(2)0-2,(1)1-2,主胜
568,(3)0-3,(5)8-3,(7)9-2,(8)0-8,(2)3-5,(1)2-3,主胜
569,(2)0-2,(0)2-2,(2)4-2,(2)0-2,(0)2-2,(1)4-3,客胜
570,(4)2-6,(6)2-8,(8)9-1,(0)5-5,(1)3-2,(0)2-2,平局
571,(8)12-4,(15)1-16,(4)1-5,(3)4-1,(1)3-4,(3)7-10,主胜
572,(0)1-1,(1)2-1,(1)1-2,(2)0-2,(0)1-1,(1)2-1,平局
573,(10)1-11,(0)1-1,(1)2-1,(3)0-3,(0)3-3,(1)3-4,主胜
574,(2)0-2,(4)6-2,(0)4-4,(5)0-5,(5)0-5,(1)0-1,主胜
575,(1)0-1,(0)1-1,(1)1-2,(1)0-1,(0)1-1,(1)2-1,平局
576,(3)5-2,(3)4-7,(1)4-5,(2)0-2,(3)0-3,(4)7-3,主胜
577,(10)3-13,(11)12-1,(4)5-1,(1)1-2,(1)1-2,(1)1-2,平局
578,(0)0-0,(1)0-1,(0)1-1,(0)1-1,(0)2-2,(2)3-1,平局
579,(0)1-1,(3)4-1,(4)0-4,(1)2-1,(0)1-1,(2)3-1,主胜
580,(8)11-3,(7)2-9,(2)4-2,(3)4-7,(4)7-3,(6)4-10,主胜
